ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",3069,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",16822,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,21,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",18582,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",1024,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",716,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,45,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",3508,
X85,"Assault by drugs, medicaments and biological substances",81,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",293,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1168,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",8,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1321,
