ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",1916,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",12280,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,21,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",15565,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",934,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",712,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,33,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",3437,
X85,"Assault by drugs, medicaments and biological substances",62,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",265,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1140,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",7,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1500,
