ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",2080,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",13214,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,16,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",17541,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",908,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",670,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,37,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",3516,
X85,"Assault by drugs, medicaments and biological substances",80,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",255,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1057,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",0,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1546,
