ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",2292,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",13932,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,16,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",16725,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",969,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",662,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,42,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",3632,
X85,"Assault by drugs, medicaments and biological substances",80,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",266,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1012,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",7,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1450,
