ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",1486,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",13302,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,16,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",11350,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",946,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",678,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,17,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",2730,
X85,"Assault by drugs, medicaments and biological substances",75,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",280,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1574,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",7,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1449,
