ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",704,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",6139,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,21,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",4672,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",843,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",385,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,18,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",1790,
X85,"Assault by drugs, medicaments and biological substances",31,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",219,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1357,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",8,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",802,
