ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",1300,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",9798,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,22,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",8506,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",902,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",626,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,16,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",2429,
X85,"Assault by drugs, medicaments and biological substances",72,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",262,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1761,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",9,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1219,
