ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",671,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","6,009",
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,21,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","4,286",
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",859,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",380,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,22,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","1,747",
X85,"Assault by drugs, medicaments and biological substances",40,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",231,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent","1,425",
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",4,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",775,
