ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",1545,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",13030,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,10,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",12783,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",933,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",670,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,29,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",2915,
X85,"Assault by drugs, medicaments and biological substances",61,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",278,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1563,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",1,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1604,
