ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",1205,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",9231,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,37,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",7611,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",850,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",546,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,11,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",2241,
X85,"Assault by drugs, medicaments and biological substances",48,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",239,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1981,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",8,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1270,
