ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",3870,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",19914,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,32,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",20108,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",1078,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",621,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,46,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",3318,
X85,"Assault by drugs, medicaments and biological substances",93,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",313,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1256,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",8,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1358,
