ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",1681,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",12458,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,15,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",14348,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",927,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",755,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,36,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",3159,
X85,"Assault by drugs, medicaments and biological substances",70,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",270,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1306,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",5,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1509,
