ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",1024,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",8264,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,23,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",6861,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",853,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",563,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,10,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",2231,
X85,"Assault by drugs, medicaments and biological substances",43,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",241,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1810,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",9,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1094,
