ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",763,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",6509,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,19,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",5525,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",816,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",483,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,13,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",2042,
X85,"Assault by drugs, medicaments and biological substances",42,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",231,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1595,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",5,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",875,
