ICD_Code,Cause_of_Death,Num_Deaths,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",1496,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",11050,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,23,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",9653,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",930,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",613,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,16,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",2438,
X85,"Assault by drugs, medicaments and biological substances",57,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",290,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",1411,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",5,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",1291,
